Keyword,Video_Title,Video_Link,Channel_Name,Channel_Link,Total_Views,Publish_Date,Description
Poder Judicial,"
            
            REFORMA al PODER JUDICIAL llega a la ONU
          ",https://www.youtube.com/shorts/1Dp5ratlshY,El Financiero Bloomberg,https://www.youtube.com/@FinancieroMexico,59K views,2 months ago,Magistrados y jueces mexicanos alertaron sobre los riesgos de la reforma judicial y lo que implica que los jueces sean electos ...
Poder Judicial,"
            
            Paro del Poder Judicial, más que una protesta laboral: Francisco Zea | Noticias con Francisco Zea
          ",https://www.youtube.com/watch?v=Idc0IdrtshY&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Imagen Noticias,https://www.youtube.com/@ImagenNoticias,14K views,3 months ago,"Así lo dice Zea | El paro del Poder Judicial es más que una protesta laboral, es una llamada de atención sobre los peligros de ..."
Poder Judicial,"
            
            SIGUE LA TENSIÓN | Se presentan enfrentamientos entre manifestantes del Poder Judicial y la policía
          ",https://www.youtube.com/watch?v=oCLnGRWUMeQ&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Azteca Noticias,https://www.youtube.com/@aztecanoticias,20K views,2 months ago,"Afuera de la Antigua Casona de Xicoténcatl, donde se movieron los senadores para discutir la #ReformaAlPoderJudicial, ..."
Poder Judicial,"
            
            Mejor Tutorial: Subir escritos Poder Judicial en 2 minutos
          ",https://www.youtube.com/watch?v=MzSBGYV3gYw&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Tramitación en Oficina Judicial Virtual de Juzgados de Familia,https://www.youtube.com/@tramitacionenoficinajudici1095,182K views,7 years ago,"Te enseño como enviar tus escritos o solicitudes ""en solo 2 minutos"" a tu Tribunal de Familia a través de la Oficina Judicial Virtual ..."
Poder Judicial,"
            
            Siguen aprobando leyes de reforma al Poder Judicial: Comisiones del Senado dan visto bueno a 3
          ",https://www.youtube.com/watch?v=2CRMgXdw9gE&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,MILENIO,https://www.youtube.com/@milenio,883 views,4 days ago,"El dictamen se envió a la Mesa Directiva del Senado para su publicación en la Gaceta Parlamentaria, para ser puesta a ..."
Poder Judicial,"
            
            Debaten reforma sobre Poder Judicial
          ",https://www.youtube.com/watch?v=I9A6fiGf15E&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Canal del Congreso México,https://www.youtube.com/c/CanaldelCongresoM%C3%A9xico,48 views,22 hours ago,"La Ley Orgánica permitirá establecer las normas, estructura, integración y funcionamiento de los órganos que componen el ..."
Poder Judicial,"
            
            Convocatoria a elección del Poder Judicial fue un éxito: Arturo Zaldívar
          ",https://www.youtube.com/watch?v=fnQC34zycfw&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,10K views,5 days ago,Será el 15 de diciembre cuando los comités concluyan con la revisión de los perfiles inscritos a la elección del Poder Judicial.
Poder Judicial,"
            
            Reflexiona Ministro Aguilar sobre futuro del Poder Judicial
          ",https://www.youtube.com/watch?v=O64aXm2oCBA&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo REFORMA,https://www.youtube.com/@gruporeforma,21K views,2 weeks ago,"En entrevista con REFORMA, el Ministro Luis María Aguilar, quien se retira el 30 de noviembre, reflexiona sobre su carrera y el ..."
Poder Judicial,"
            
            ADIÓS PODER JUDICIAL - EL PULSO DE LA REPÚBLICA
          ",https://www.youtube.com/watch?v=vCtyT_Uxnak&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Pulso De La República,https://www.youtube.com/@elpulso,377K views,2 months ago,El Pulso de La República. El InIn (Informativo Informal) que sale todos los LUNES y JUEVES a las 8 PM EN VIVO. SIEMPRE ...
Poder Judicial,"
            
            Ministro Alcántara propone invalidar elección del Poder Judicial
          ",https://www.youtube.com/watch?v=MdRW-Fr3UsI&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,MILENIO,https://www.youtube.com/@milenio,2.8K views,1 month ago,"El ministro Juan Luis Alcántara presenta un proyecto que busca invalidar la elección del Poder Judicial, salvo la de magistrados ..."
Poder Judicial,"
            
            #Análisis ¬ La historia ya juzgó al Poder Judicial por eso se votó para reformarlo
          ",https://www.youtube.com/watch?v=ZXsxfuNcoXA&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,SinEmbargo Al Aire,https://www.youtube.com/@SinEmbargoAlAire,114K views,1 month ago,Alejandro Páez Varela y Álvaro Delgado analizan las renuncias de 8 ministros de la Suprema Corte —que han decidido no ...
Poder Judicial,"
            
            ¿Se acaba el paro? Consejo de la Judicatura vota porque Poder Judicial vuelva a operar
          ",https://www.youtube.com/watch?v=Y4-BP0F1EaQ&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,19K views,1 month ago,El paro de los trabajadores del Poder Judicial parece llegar a su fin luego de que el Consejo de la Judicatura Federal votara para ...
Poder Judicial,"
            
            ¿Debe  preocuparnos  la reforma al Poder Judicial en México? - Es la Hora de Opinar
          ",https://www.youtube.com/watch?v=G5ruN_Owhu0&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,NMás,https://www.youtube.com/@nmas,81K views,3 months ago,"Leo Zuckermann, Fernanda Caso, Lisa Sánchez y Carlos Pérez Ricart examinan la reforma al Poder Judicial en México, así ..."
Poder Judicial,"
            
            ¿Cómo va la reforma al Poder Judicial? | DPC con Nacho Lozano
          ",https://www.youtube.com/watch?v=3ThycaMvIaw&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Imagen Noticias,https://www.youtube.com/@ImagenNoticias,45K views,3 months ago,"El curso de la reforma al #PoderJudicial está en una especie de pausa hasta el domingo, en tanto, siguen las manifestaciones a ..."
Poder Judicial,"
            
            Trabajadores del Poder Judicial presionan al Ministro Pérez Dayán: ""honre su toga""
          ",https://www.youtube.com/watch?v=sdldeqNcrtI&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,SinEmbargo Al Aire,https://www.youtube.com/@SinEmbargoAlAire,29K views,1 month ago,"El Poder Judicial está de pie, está de pie!”, “¡No nos vamos a callar y no nos vamos a mover!”, gritaban al unísono miles de ..."
Poder Judicial,"
            
            Reforma al Poder Judicial, la más importante del Plan C del presidente López Obrador | Imagen
          ",https://www.youtube.com/watch?v=gMpf_wjt0A0&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Imagen Noticias,https://www.youtube.com/@ImagenNoticias,43K views,2 months ago,La más importante reforma del llamado #PlanC del presidente #LópezObrador pasó este miércoles la primera aduana legislativa.
Poder Judicial,"
            
            AMLO se burla de paro en el Poder Judicial
          ",https://www.youtube.com/watch?v=p4dSJzw0-pU&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,20K views,3 months ago,"López Obrador calificó el paro del Poder Judicial como ""demagogia"", aunque reconoció que los trabajadores están en su ..."
Poder Judicial,"
            
            Trabajadores del Poder Judicial comienzan acciones de resistencia
          ",https://www.youtube.com/watch?v=6zRoGfBgFcA&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Universal,https://www.youtube.com/@ElUniversalMex,11K views,2 months ago,"Tras la aprobación de la reforma al Poder Judicial por parte de los Senadores la madrugada de este miércoles, 11 de septiembre ..."
Poder Judicial,"
            
            Elegir nuestros representantes - Poder Judicial
          ",https://www.youtube.com/watch?v=gKLsKO4GtDc&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,NoTanChicos,https://www.youtube.com/@NoTanChicos,341K views,14 years ago,Conocé las atribuciones y responsabilidades del Poder Ejecutivo Nacional.
Poder Judicial,"
            
            Trabajadores del Poder Judicial se manifiestan nuevamente | Noticias MTY primera emisión
          ",https://www.youtube.com/watch?v=EjgL0mpjRKY&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Imagen Noticias,https://www.youtube.com/@ImagenNoticias,490 views,1 month ago,Trabajadores del Poder Judicial se manifiestan nuevamente en Monterrey. No te pierdas Imagen Noticias Monterrey con Gerardo ...
Poder Judicial,"
            
            SERÍA TERRIBLE un 'AÑO de HIDALGO' en el PODER JUDICIAL: SHEINBAUM
          ",https://www.youtube.com/watch?v=cm3OFcZ0aYE&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,LA OCTAVA,https://www.youtube.com/@LAOCTAVA,9.3K views,3 weeks ago,La presidenta Claudia Sheinbaum habló de los avances en la elección de personas juzgadoras en el Poder Judicial.
Poder Judicial,"
            
            Escala pugna entre el Poder Judicial y el bloque guinda #EnPortada
          ",https://www.youtube.com/watch?v=yEGSEvB1ndU&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Universal,https://www.youtube.com/@ElUniversalMex,15K views,3 months ago,"La presidenta de la Corte, Norma Piña, consulta a los ministros si tiene facultad para frenar reforma judicial; Adán Agusto López, ..."
Poder Judicial,"
            
            El gobierno de Estados Unidos señala que la reforma al poder judicial debe respetar el T-MEC
          ",https://www.youtube.com/watch?v=6fV7JmeCxPc&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,MILENIO,https://www.youtube.com/@milenio,6.3K views,5 months ago,El gobierno de Estados Unidos señala que la profunda reforma al poder judicial debe respetar las inversiones extranjeras ...
Poder Judicial,"
            
            Magistrada responde a Sheinbaum sobre petición de descuentos a trabajadores del Poder Judicial
          ",https://www.youtube.com/watch?v=9EL9DX1L1sg&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Universal,https://www.youtube.com/@ElUniversalMex,27K views,1 month ago,"Magda Adriana Ortega Ortiz, magistrada de Circuito, respondió a la presidenta Claudia Sheinbaum sobre aplicar descuentos a ..."
Poder Judicial,"
            
            Presidente celebra aprobación de la reforma al Poder Judicial en el Senado de la República
          ",https://www.youtube.com/watch?v=P1oSbjfEaZQ&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Andrés Manuel López Obrador,https://www.youtube.com/@lopezobrador,84K views,2 months ago,Presidente celebra aprobación de la reforma al Poder Judicial en el Senado de la República “Vamos a avanzar en México y ...
Poder Judicial,"
            
            🖊️ Y así queda aprobada la Reforma al Poder Judicial ⚖️- EL PULSO DE LA REPÚBLICA #chumeltorres
          ",https://www.youtube.com/shorts/nwUCAon23jk,El Pulso De La República,https://www.youtube.com/@elpulso,115K views,2 months ago,El Pulso de La República. El InIn (Informativo Informal) que sale todos los LUNES y JUEVES a las 8 PM EN VIVO. SIEMPRE ...
Poder Judicial,"
            
            ¿Qué estados han aprobado ya la reforma al Poder Judicial? 9 Congresos locales le han dado el sí
          ",https://www.youtube.com/watch?v=y1AFRHaY-Es&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Heraldo de México,https://www.youtube.com/@elheraldodemexico,17K views,2 months ago,"ACTUALIZACIÓN: Durango y Baja California aprobaron ya la Reforma al Poder Judicial, por lo que suman 11 estados en decir sí."
Poder Judicial,"
            
            EN VIVO | Audiencia de apelación a medidas de Manuel Monsalve
          ",https://www.youtube.com/watch?v=qnM-JqEhMwE&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Meganoticias,https://www.youtube.com/@Meganoticiasoficial,51K views,Streamed 11 days ago,meganoticias #chile #noticias #mega SÍGUENOS EN: YouTube https://bit.ly/2Xm4Utd Facebook ...
Poder Judicial,"
            
            Janet Tello es elegida nueva presidenta del Poder Judicial #ENCENDIDOSRPP | BREAKING
          ",https://www.youtube.com/watch?v=AQb1Dvep1ns&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,RPP Noticias,https://www.youtube.com/@RPPNoticias,1.8K views,3 days ago,La jueza suprema Janet Tello Gilardi será la nueva presidenta del Poder Judicial para el periodo 2025-2026.
Poder Judicial,"
            
            El poder judicial en España: Qué es, cómo está estructurado y cómo funciona
          ",https://www.youtube.com/watch?v=0rs4BdvTTzY&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,YUCAAN,https://www.youtube.com/@YUCAAN,59K views,3 years ago,Capítulos: 00:00 Presentación. 00:14 Breves apuntes iniciales. 03:11 Estructura y administración. 06:03 Juzgados y Tribunales.
